change_id,date_applied,category,feature,description,affected_tables,affected_entity_ids,original_value,new_value,source_file,notes
1,2026-05-23,Server Setup,Initial Setup,Extracted TurtleServer_en.rar and configured working server environment,n/a,n/a,n/a,n/a,n/a,Pre-packaged server. No SQL imports needed. Bundled MySQL on port 3306.
2,2026-05-23,System,Respawn Timer — All Creatures,Set ALL creature spawn timers to 10 years so killed mobs never respawn during solo play,"creature",all entries,default (60-600s varies),315360000s (10 years),tmp_respawn_10yr.sql,Escort NPCs (script_waypoint entries) restored to 300s so escort quests remain completable
3,2026-05-23,System,Repop Mulgore,Deleted creature_respawn entries for Mulgore to force immediate respawn of all mobs in zone,"tw_char.creature_respawn",map=1 bbox x:-4500 to -400 / y:-2750 to 1200,pending respawn timers,cleared (immediate respawn),tmp_repop_mulgore.sql,Run once after server start; only needed when freshly loaded world has empty zones
4,2026-05-23,Loot,Quest Item Drops — 100%,Set all quest item drop chances to 100% (ChanceOrQuestChance was negative = quest item flag),creature_loot_template,all entries where ChanceOrQuestChance < 0,various negative values (e.g. -50 = 50%),-100 (= 100% quest item),tmp_loot_fix.sql,Negative values are the quest-item flag convention in MaNGOS
5,2026-05-23,Loot,Rare+ Ungrouped Drop — 100%,Set all ungrouped Blue/Purple/Legendary item drop chances to 100%,creature_loot_template,"items where quality >= 3, groupid = 0",various (e.g. 10-50),100,tmp_loot_fix.sql,Ungrouped = rolls independently; groupid=0
6,2026-05-23,Loot,Rare+ Grouped Drop — Break Out + 100%,Moved all grouped Rare+ items out of their loot groups and set to 100% independent drop,creature_loot_template,"items where quality >= 3, groupid > 0",grouped (only one of group drops),groupid=0 at 100%,tmp_loot_fix.sql + tmp_loot_group_fix.sql,Old grouped rows deleted after insert; loot_group_fix.sql handles PK collision edge cases
7,2026-05-23,Loot,Green Drops — Named Mobs 100%,Set all Uncommon (quality=2) item drop chances to 100% on named mobs (proxy: has any blue+ in loot table),creature_loot_template,"items where quality=2, mob has blue+ in loot table",various,100,tmp_green_loot_fix.sql,Also breaks greens out of loot groups using same INSERT+DELETE pattern as Rare+
8,2026-05-23,Loot,Green Drops — Non-Named Mobs 0%,Zeroed out all Uncommon (quality=2) drop chances on non-named trash mobs,creature_loot_template,"items where quality=2, mob has NO blue+ items in loot table",various,0,tmp_green_trash_zero.sql,Leaves quality <= 1 (grey/white) untouched; named mob proxy is blue+ loot presence
9,2026-05-23,Spell,Stat Buff Duration — 1 Hour (Initial Attempt),Registered spellduration ID 600 at 3600000ms and set all stat-buff spell durationIndex to 600,"spellduration, spell_template","Mark of the Wild, Gift of the Wild, PW:Fortitude, Prayer of Fortitude, Arcane Intellect, Arcane Brilliance, Divine Spirit, Prayer of Spirit, Shadow Protection (x2), Prayer of Shadow Protection, Blessing of Kings/Might/Wisdom/Salvation/Sanctuary/Light (x2 each), Battle Shout, Commanding Shout, Trueshot Aura, all Aspects, Grace of Air, Strength of Earth, Stoneskin Totem, Windfury Totem, Flametongue Totem, Mana Spring Totem, Resistance Totems",various original durationIndex values,600 (= 1hr custom slot),tmp_buff_duration_1hr.sql,SUPERSEDED by change 10 — ID 600 is not in SpellDuration.dbc so client ignores it; buff vanished immediately
10,2026-05-23,Spell,Stat Buff Duration — 1 Hour (Corrected),Reverted durationIndex=600 back to original DBC-valid IDs then overrode those IDs to 3600000ms in spellduration table,"spellduration, spell_template","same spell set as change 9 — all stat-buff spells across all classes",600 (broken),original DBC-valid IDs (3/4/6/21/30/40/42) overridden to 3600000ms (1hr),tmp_fix_gossip_and_buffs.sql,MaNGOS reads spellduration from DB at startup; overriding existing valid DBC IDs is the correct approach. spellduration IDs 3/4/6/21/30/40/42 all now = 3600000ms
